id,appt,appt_type,pet_type,gender,name,breed,age_yrs,weight_kgs,color,owner,owner_phone,owner_email,vet,vet_phone,vet_email,specialty,price
1,09/07/2025 10:00,Injury Treatment,Cat,Female,Sera,Persian,4,4.3,Gray,Inga Ivanova,2596883365,ivan.ing@yahoo.com,Dr. Irina Vasilieva,647291716,irina.vasilieva@yahoo.com,Emergency,95.5
2,09/07/2025 10:30,Vaccination,Dog,Female,Booma,Bulldog,2,19,White,Madaline Friedman,9528493707,mad.friedman@gmail.com,Dr. Rodion Vasiliev,75368373839,rodion.vasiliev@yahoo.com,Immunology,55.5
3,09/07/2025 11:00,Check-up,Parrot,Male,Blusher,Cockatiel,14,0.125,White-Gray,Kaitlin Young,2314394087,young.kait@hotmail.com,Dr. Alex Sokolov,83784937292,alex.sokolov@yahoo.com,General,30
4,09/07/2025 11:30,Check-up,Rabbit,Male,Tux,Dutch,7,2.3,Black-White,Edna Mitch,3778189430,e.mitch@gmail.com,Dr. Alex Sokolov,83784937292,alex.sokolov@yahoo.com,General,40
5,09/07/2025 12:00,Dental Cleaning,Dog,Male,Goldie,Poodle,5,4.5,Orange,Carla Cuddy,4568210164,car.cud@gmail.com,Dr. Polina Stepanova,9637382916,polina.stepanova@yahoo.com,Dentistry,45.5
6,09/07/2025 12:30,Dental Cleaning,Dog,Female,Cloudia,Poodle,4,5,White,Carla Cuddy,4568210164,car.cud@gmail.com,Dr. Eugene Volkov,10927276328,eugene.volkov@yahoo.com,Dentistry,45.5
7,09/07/2025 13:00,Injury Treatment,Parrot,Female,Avie,African Grey,18,0.6,Red,Matthew Harrington,5686068745,matt.harring@gmail.com,Dr. Irina Vasilieva,647291716,irina.vasilieva@yahoo.com,Emergency,90.5
8,09/07/2025 13:30,Vaccination,Rabbit,Male,Tucker,Dutch,5,2.5,Gray,Stephen Tate,6967828429,steph.tate@gmail.com,Dr. Rodion Vasiliev,75368373839,rodion.vasiliev@yahoo.com,Immunology,45
9,09/07/2025 14:00,Check-up,Parrot,Female,Cacaw,Macaw,10,0.5,Red,Christine Joseph,168666790,chris.seph@gmail.com,Dr. Alex Sokolov,83784937292,alex.sokolov@yahoo.com,General,65.5
10,09/07/2025 14:30,Dental Cleaning,Dog,Male,Doug,Bulldog,7,20.6,Black,Donald Bowman,6217978211,donald.bowman@gmail.com,Dr. Polina Stepanova,9637382916,polina.stepanova@yahoo.com,Dentistry,85.5
11,09/07/2025 15:00,Check-up,Rabbit,Female,Shy,Lop,10,5,Black,Alyssa Farley,5633387943,alyssa.far@gmail.com,Dr. Alex Sokolov,83784937292,alex.sokolov@yahoo.com,General,45.5
12,09/07/2025 15:30,Check-up,Parrot,Female,Cheeky,Cockatiel,8,0.2,White,William Hicks,5585028003,will.hick@gmail.com,Dr. Alex Sokolov,83784937292,alex.sokolov@yahoo.com,General,85
